<DTYYYYMMDD>,<SIGNAL>,<OPEN>,<FACTOR>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<FEE>,<FINALPRICE>
19990817,1,425,,457,425,457,3281,101,356
19990818,1,441,,441,441,441,1018,97.46,343.54
19990819,1,445,,445,445,445,1204,98.35,346.66
19990820,1,450,,455,450,455,1100,100.56,354.45
19990823,-1,470,,470,470,470,365,112.33,582.33
19990824,-1,474.5,,474.5,474.5,474.5,2903,113.41,587.91
19990825,-1,479,,480,475,475,1581,113.53,588.53
19990826,-1,480,,480,478.5,479.5,4827,114.6,594.1
19990827,-1,475,,475,475,475,30,113.53,588.53
19990830,-1,475,,475,475,475,212,113.53,588.53
19990831,1,460,,460,460,460,248,101.66,358.34
19990901,1,460,,460,460,460,4483,101.66,358.34
19990902,1,455,,455,455,455,2605,100.56,354.45
19990903,-1,475,,475,475,475,130,113.53,588.53
19990906,1,455,,455,449,449,185,99.23,349.77
19990907,1,425,,446,425,444.5,3436,98.23,346.27
19990908,1,438,,438,435,435,1757,96.14,338.87
19990909,1,433,,438,430,435,1449,96.14,338.87
19990910,1,435,,435,435,435,990,96.14,338.87
19990913,1,433,,433,430,433,284,95.69,337.31
19990914,1,430,,430,430,430,3309,95.03,334.97
19990915,1,415,,425,415,420,659,92.82,327.18
19990916,1,415,,415,406,415,2468,91.72,323.29
19990917,1,410.5,,415,410,410.5,6499,90.72,319.78
19990920,1,410,,410,409.5,410,8496,90.61,319.39
19990921,1,410,,410,409,409,2813,90.39,318.61
19990922,1,405,,410,405,410,269,90.61,319.39
19990923,1,406,,406,406,406,2647,89.73,316.27
19990924,1,405,,405,405,405,774,89.51,315.5
19990927,1,400,,400,400,400,459,88.4,311.6
19990928,1,400,,400,395,395,2213,87.3,307.71
19990929,1,390,,390,389.5,390,162,86.19,303.81
19990930,1,390,,390,390,390,2137,86.19,303.81
19991001,1,365,,375,365,375,565,82.88,292.13
19991004,1,375,,375,375,375,621,82.88,292.13
19991005,1,380,,380,378,380,5571,83.98,296.02
19991006,1,380,,386,380,386,906,85.31,300.69
19991007,1,380,,380,380,380,475,83.98,296.02
19991008,1,370,,386,370,386,439,85.31,300.69
19991011,1,380,,380,375,375,318,82.88,292.13
19991012,1,370,,372,370,371,323,81.99,289.01
19991013,1,370,,370,370,370,592,81.77,288.23
19991014,1,370,,370,370,370,498,81.77,288.23
19991015,1,370,,370,370,370,271,81.77,288.23
19991018,1,365,,365,365,365,36,80.67,284.34
19991019,1,369,,370,369,370,170,81.77,288.23
19991020,1,370,,370,369,369,417,81.55,287.45
19991021,1,350,,357,347,350,2874,77.35,272.65
19991022,1,350,,356,350,355.5,2276,78.57,276.93
19991025,1,360,,365,359,365,519,80.67,284.34
19991026,1,365,,365,365,365,227,80.67,284.34
19991027,1,365,,365,360,360,128,79.56,280.44
19991028,1,358,,360,358,360,229,79.56,280.44
19991029,1,364,,364,360,360,605,79.56,280.44
19991102,1,362,,362,358,362,389,80,282
19991103,1,352,,363,351,363,197,80.22,282.78
19991104,1,353,,353,350,350,577,77.35,272.65
19991105,1,321,,336,321,334,1116,73.81,260.19
19991108,1,331,,331,331,331,252,73.15,257.85
19991109,1,341,,343,341,343,335,75.8,267.2
19991110,1,345,,346,345,346,199,76.47,269.53
19991115,-1,345,,350,345,350,2304,83.65,433.65
19991116,-1,350,,352,350,350,2359,83.65,433.65
19991117,-1,351,,355,351,355,1141,84.85,439.85
19991118,1,350,,350,350,350,140,77.35,272.65
19991119,1,350,,350,350,350,1278,77.35,272.65
19991122,1,349,,349,340,344,521,76.02,267.98
19991123,-1,350,,350,349,350,30897,83.65,433.65
19991124,-1,350,,350.5,350,350,642,83.65,433.65
19991125,-1,350,,350,350,350,2613,83.65,433.65
19991126,1,350,,350,345,345,928,76.25,268.76
19991129,1,348,,348,345,345,678,76.25,268.76
19991130,-1,348,,358,348,352,2423,84.13,436.13
19991201,-1,351,,351,349,349,921,83.41,432.41
19991202,1,351,,351,347,347,1332,76.69,270.31
19991203,-1,350,,350,346,350,677,83.65,433.65
19991206,-1,350,,350,350,350,399,83.65,433.65
19991207,-1,350,,350,346,350,487,83.65,433.65
19991208,-1,350,,352,348,350,420,83.65,433.65
19991209,-1,350,,353.5,349,350,2118,83.65,433.65
19991210,1,350,,350,348,348,576,76.91,271.09
19991213,1,340,,344,338.5,339,876,74.92,264.08
19991214,1,340,,342,339,340,1834,75.14,264.86
19991215,1,350,,350,343,343,1102,75.8,267.2
19991216,-1,340,,347,340,347,729,82.93,429.93
19991217,1,350,,350,340,340,946,75.14,264.86
19991220,-1,350,,352,340,349.5,3647,83.53,433.03
19991221,-1,350,,352,348,348,5795,83.17,431.17
19991222,-1,350,,373.5,350,367.5,7647,87.83,455.33
19991223,-1,370,,379,370,375,14099,89.63,464.63
19991227,-1,384,,392,375.5,381,16444,91.06,472.06
19991228,-1,380,,380,371,371,4196,88.67,459.67
19991229,-1,365,,373.5,365,373,7032,89.15,462.15
20000103,-1,381,,392,376,379.5,2126,90.7,470.2
20000104,-1,378,,378,368,370,6907,88.43,458.43
20000105,-1,362,,371,362,369.5,10414,88.31,457.81
20000106,-1,380,,395,378,395,9323,94.41,489.41
20000107,-1,403,,420,403,414,4012,98.95,512.95
20000110,-1,420,,430,418.5,420,4103,100.38,520.38
20000111,-1,420,,428,411,428,9152,102.29,530.29
20000112,-1,425,,443.5,425,432,2229,103.25,535.25
20000113,-1,440,,455,440,445,3878,106.36,551.36
20000114,-1,459.5,,459.5,431,450,4015,107.55,557.55
20000117,-1,450,,450,435,448,1571,107.07,555.07
20000118,-1,445.5,,446,444,445,1137,106.36,551.36
20000119,-1,401,,430,401,429.5,2288,102.65,532.15
20000120,1,429,,429,417,420,1883,92.82,327.18
