Date,Open,High,Low,Close,Volume,FinalPrice,AdditionalFee,JsonSerialization
19980217,330,330,326.5,326.5,575,254.34,72.16,False
19980218,330,330,328,328,925,255.51,72.49,False
19980219,350,350,335.5,335.5,4599,415.68,80.18,False
19980220,334,336,334,336,362,416.3,80.3,False
19980223,330.5,332,330.5,332,382,258.63,73.37,False
19980224,333,333,333,333,315,412.59,79.59,False
19980225,341,345,335,341,2340,422.5,81.5,False
19980226,338,338,338,338,306,418.78,80.78,False
19980227,342,342,342,342,2752,423.74,81.74,False
19980302,338.5,338.5,331,331,609,257.85,73.15,False
19980303,332,334,332,332,1626,258.63,73.37,False
19980304,322.5,340,322.5,335,2186,415.07,80.07,False
19980305,339,339,331,333,944,259.41,73.59,False
19980306,332,341,332,340,435,421.26,81.26,False
19980310,365,380,365,370,1340,458.43,88.43,False
19980311,372,380,361,376,2246,465.86,89.86,False
19980312,340,370,340,370,513,458.43,88.43,False
19980313,359,359,359,359,237,444.8,85.8,False
19980316,368,368,368,368,597,455.95,87.95,False
19980317,368,368,355,368,4288,455.95,87.95,False
19980318,372,385,372,385,2575,477.02,92.02,False
19980319,352,370,352,370,559,458.43,88.43,False
19980320,345,350,344,345,4863,268.76,76.25,False
19980323,340,341,340,341,3436,265.64,75.36,False
19980324,340,340,340,340,1607,264.86,75.14,False
19980325,336,336,336,336,626,261.74,74.26,False
19980326,345,345,345,345,3085,268.76,76.25,False
19980327,340,341,340,341,284,265.64,75.36,False
19980330,345,345,340,344,282,267.98,76.02,False
19980331,335,335,335,335,1454,260.97,74.04,False
19980401,368.5,368.5,345,345,3270,268.76,76.25,False
19980402,345,345,339,339,640,264.08,74.92,False
19980406,345,345,345,345,8236,427.46,82.46,False
19980407,345,345,341,341,1068,265.64,75.36,False
19980408,332,336,332,336,848,261.74,74.26,False
19980409,331,333,331,333,477,259.41,73.59,False
19980414,345,345,345,345,200,427.46,82.46,False
19980415,314.5,330,314.5,330,3121,257.07,72.93,False
19980416,330,330,327,327,968,254.73,72.27,False
19980417,345,352,343,352,7548,436.13,84.13,False
19980420,340,348,338,338,2237,263.3,74.7,False
